snapshot,redshift,mask_name,selected_cells,volume_total,volume_fraction,lambda_mfp_input,lambda_mfp_units,lambda_mfp_cm,GammaHI_source,GammaHI_s_1,sigma_hi_cm2,photon_band_used,c_tilde_cm_s,nH_V,nH2_V,nHI_V,nHII_V,ne_V,gas_density_V_g_cm3,gas_density_squared_V_g2_cm6,C_standard_raw_volume,C_raw_volume_nH,nGamma_V,nGamma_ctilde_sigma_over_Gamma,R_rec,R_ion,R_gamma_c,R_gamma_ctilde,C5,C5_paper_actual,C5_chi_nH2,C5_neHII,C7,C7_paper_actual,C7_chi_nH2,C8,C8_corrected_actual,C8_corrected_chi_nH2,C8_paper_literal_actual,C8_paper_literal_chi_nH2,C13_c,C13_ctilde,C13_c_actual,C13_ctilde_actual,C13_c_chi_nH2,C13_ctilde_chi_nH2,Q6,Q12_c,Q12_ctilde,C7_over_C5,C8_over_C7,C13c_over_C5,C13ctilde_over_C5,nHI_mfp,nHI_mfp_over_nHI_V,recombination_rate,photoionization_rate,ionization_equilibrium_ratio,electron_density_nHII_over_ne,lambda_mfp_nHI_sigma_HI,Gamma_lambda_mfp_over_c,photon_photoionization_rate_ratio,nGamma_V_g0,R_gamma_c_g0,R_gamma_ctilde_g0,nGamma_ctilde_sigma_over_Gamma_g0,C13_c_actual_g0,C13_ctilde_actual_g0,C13_c_chi_nH2_g0,C13_ctilde_chi_nH2_g0,Q12_c_g0,Q12_ctilde_g0,photon_photoionization_rate_ratio_g0
3,13.00228991319704,all-gas,2096684,63999999997.210205,1.0,3.67154818329849e-07,proper pMpc/h,1.6709755042137915e+18,redshift_table,6.775134079308563e-14,6.3e-18,0,5995849160.0,0.0005235392103749579,6.400493923278846e-07,0.0004502757654431107,7.326344493184729e-05,7.874916381588172e-05,1.1522155385688926e-27,3.100844534405553e-54,2.335675672248345,2.3351515017662856,9.757018527647799e-07,0.5439894578428076,1.0822106048878887e-19,3.050678683540367e-17,1.7505227095063552e-14,3.501045419012711e-15,33.838887250888675,33.838887250888675,1.4115291083828392,33.838887250888675,9538.954021034215,9538.954021034215,397.90053273284633,2012387.2146230962,2012387.2146230962,83943.16011982238,223014353.1764137,9302647.831228903,5473587.149263077,1094717.4298526158,5473587.149263077,1094717.4298526158,228320.9708159708,45664.194163194166,281.89325347226674,161754.34814628342,32350.86962925669,281.8932534722667,210.96518655877878,161754.3481462834,32350.86962925669,0.09499251085960272,210.9651865587787,1.0822106048878887e-19,3.050678683540367e-17,281.89325347226674,0.9303393379914454,0.004740118577438283,3.7763068356738538e-06,573.814187299084,9.757018527647799e-07,1.7505227095063552e-14,3.501045419012711e-15,0.5439894578428076,5473587.149263077,1094717.4298526158,228320.9708159708,45664.194163194166,161754.34814628342,32350.86962925669,573.814187299084
3,13.00228991319704,overdensity_lt_-1,0,0.0,0.0,3.67154818329849e-07,proper pMpc/h,1.6709755042137915e+18,redshift_table,6.775134079308563e-14,6.3e-18,0,5995849160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13.00228991319704,overdensity_lt_-0.492462311558,136783,9347897427.29514,0.14606089730785343,3.67154818329849e-07,proper pMpc/h,1.6709755042137915e+18,redshift_table,6.775134079308563e-14,6.3e-18,0,5995849160.0,0.0002234221259263095,5.075222442900134e-08,0.00020592182657372605,1.750029935258471e-05,1.8881851804091635e-05,4.917115141461859e-28,2.458235454011572e-55,1.0167231726891373,1.0167231726891464,1.7738930001616642e-07,0.09890102070573091,2.279832751065844e-21,1.3951479848931136e-17,3.1825705487985363e-15,6.365141097597073e-16,12.446593352072401,12.446593352072401,0.1632777882458786,12.446593352072401,76167.1645685834,76167.1645685834,999.1815283052886,35136198.662436984,35136198.662436984,460926.18620140624,3893821507.5317664,51080206.89598257,17375029.557171773,3475005.9114343547,17375029.557171773,3475005.9114343547,227930.35142659428,45586.070285318856,6119.519005246627,1395966.676639176,279193.33532783523,6119.519005246628,461.3037502636613,1395966.6766391762,279193.33532783523,0.09499251085960272,461.30375026365954,2.279832751065844e-21,1.3951479848931136e-17,6119.519005246627,0.926831728908732,0.002167769066322238,3.7763068356738538e-06,228.1170587822884,1.7738930001616642e-07,3.1825705487985363e-15,6.365141097597073e-16,0.09890102070573091,17375029.557171773,3475005.9114343547,227930.35142659428,45586.070285318856,1395966.676639176,279193.33532783523,228.1170587822884
3,13.00228991319704,overdensity_lt_0.0150753768844,983617,43717388927.98988,0.683084202029618,3.67154818329849e-07,proper pMpc/h,1.6709755042137915e+18,redshift_table,6.775134079308563e-14,6.3e-18,0,5995849160.0,0.0003496093396318387,1.3119473863507355e-07,0.0003145681213123124,3.50412183195222e-05,3.778642240373612e-05,7.694266501235633e-28,6.354550214447292e-55,1.0733722585372854,1.07337225814599,3.117002880590784e-07,0.17378430739905804,7.684121145691351e-21,2.131241198967142e-17,5.5922660314823726e-15,1.1184532062964744e-15,10.469279768600137,10.469279768600137,0.22475255188689441,10.469279768600137,29037.231380539753,29037.231380539753,623.3658854050423,8768592.016703907,8768592.016703907,188242.5033783166,971742347.9254912,20861184.083345916,7619218.452438991,1523843.690487798,7619218.452438991,1523843.690487798,163567.965363328,32713.593072665597,2773.5653284984633,727769.1131428966,145553.8226285793,2773.5653284984633,301.9775508825013,727769.1131428966,145553.8226285793,0.09499251085960272,301.9775508825047,7.684121145691351e-21,2.131241198967142e-17,2773.5653284984633,0.9273494575675286,0.003311504438252386,3.7763068356738538e-06,262.39479765089646,3.117002880590784e-07,5.5922660314823726e-15,1.1184532062964744e-15,0.17378430739905804,7619218.452438991,1523843.690487798,163567.965363328,32713.593072665597,727769.1131428966,145553.8226285793,262.39479765089646
3,13.00228991319704,overdensity_lt_0.522613065327,1466205,55777827777.58561,0.8715285590627656,3.67154818329849e-07,proper pMpc/h,1.6709755042137915e+18,redshift_table,6.775134079308563e-14,6.3e-18,0,5995849160.0,0.00041107277225319695,1.909080483264891e-07,0.00036541535642528036,4.5657415827913125e-05,4.922024170192004e-05,9.046965039991738e-28,9.246825030289248e-55,1.1297616170286482,1.1297616126380743,3.811127503735203e-07,0.21248429309137853,1.2664855132920272e-20,2.4757380344196488e-17,6.837606411434254e-15,1.367521282286851e-15,10.166763758645102,10.166763758645102,0.2679410674049774,10.166763758645102,19874.087354391373,19874.087354391373,523.7737696921805,5166420.692619997,5166420.692619997,136158.9890260464,572546854.1190683,15089247.559389481,5488916.243420151,1097783.2486840303,5488916.243420151,1097783.2486840303,144658.23265618118,28931.646531236238,1954.809595874778,539888.2450428498,107977.64900856996,1954.8095958747783,259.9576322924044,539888.2450428498,107977.64900856996,0.09499251085960272,259.9576322924093,1.2664855132920272e-20,2.4757380344196488e-17,1954.809595874778,0.9276146205135776,0.0038467806895362295,3.7763068356738538e-06,276.18456865680037,3.811127503735203e-07,6.837606411434254e-15,1.367521282286851e-15,0.21248429309137853,5488916.243420151,1097783.2486840303,144658.23265618118,28931.646531236238,539888.2450428498,107977.64900856996,276.18456865680037
3,13.00228991319704,overdensity_lt_1.03015075377,1704056,60078727354.50818,0.93873011495511,3.67154818329849e-07,proper pMpc/h,1.6709755042137915e+18,redshift_table,6.775134079308563e-14,6.3e-18,0,5995849160.0,0.00044619684026496367,2.358455345024008e-07,0.0003939796327113339,5.221720755362636e-05,5.628324299837203e-05,9.819982024369748e-28,1.1423417955538607e-54,1.1846080546648583,1.1846080422245557,4.2068448791562176e-07,0.2345469836463131,1.6790737670315073e-20,2.669264836136039e-17,7.547569450100058e-15,1.5095138900200119e-15,10.3065803885893,10.3065803885893,0.30150413723690417,10.3065803885893,16384.62416139606,16384.62416139606,479.30853740799415,3950500.1257826285,3950500.1257826285,115566.18074769629,437797568.9135759,12807136.152146079,4632889.441983479,926577.8883966961,4632889.441983479,926577.8883966961,135528.49552948392,27105.699105896783,1589.7245782447812,449507.9131302056,89901.58262604113,1589.7245782447815,241.11020715937036,449507.91313020553,89901.58262604114,0.09499251085960272,241.1102071593713,1.6790737670315073e-20,2.669264836136039e-17,1589.7245782447812,0.9277576197081736,0.004147480987144649,3.7763068356738538e-06,282.75835907784,4.2068448791562176e-07,7.547569450100058e-15,1.5095138900200119e-15,0.2345469836463131,4632889.441983479,926577.8883966961,135528.49552948392,27105.699105896783,449507.9131302056,89901.58262604113,282.75835907784
3,13.00228991319704,overdensity_lt_1.53768844221,1830028,61864742373.95071,0.9666365996351161,3.67154818329849e-07,proper pMpc/h,1.6709755042137915e+18,redshift_table,6.775134079308563e-14,6.3e-18,0,5995849160.0,0.0004670240814086283,2.685574628731575e-07,0.0004105351595845263,5.64889218241001e-05,6.088277438563531e-05,1.0278351843977573e-27,1.300785376910236e-54,1.2312852748271492,1.2312852461493016,4.4723829410852115e-07,0.24935170149491256,2.0117437055638393e-20,2.781430750455502e-17,8.02397564562777e-15,1.604795129125554e-15,10.552430624447942,10.552430624447942,0.3297392014119002,10.552430624447942,14589.758600816192,14589.758600816192,455.89642055355523,3375880.895876506,3375880.895876506,105488.51826507461,374117808.4037457,11690321.573042814,4208908.227154883,841781.6454309764,4208908.227154883,841781.6454309764,131518.7075878676,26303.741517573515,1382.5969693669003,398856.7541400041,79771.35082800082,1382.5969693669003,231.38702895931735,398856.7541400041,79771.35082800081,0.09499251085960272,231.38702895931726,2.0117437055638393e-20,2.781430750455502e-17,1382.5969693669003,0.9278309405924199,0.004321763430290733,3.7763068356738538e-06,288.48374687429197,4.4723829410852115e-07,8.02397564562777e-15,1.604795129125554e-15,0.24935170149491256,4208908.227154883,841781.6454309764,131518.7075878676,26303.741517573515,398856.7541400041,79771.35082800082,288.48374687429197
3,13.00228991319704,overdensity_lt_2.04522613065,1901916,62703638204.23532,0.9797443469838845,3.67154818329849e-07,proper pMpc/h,1.6709755042137915e+18,redshift_table,6.775134079308563e-14,6.3e-18,0,5995849160.0,0.0004799682788838838,2.9257283405700224e-07,0.0004206097098335968,5.935856905028277e-05,6.397292653025689e-05,1.0563230193670474e-27,1.4171063110407403e-54,1.2700152740456283,1.2700152240774845,4.660369474425821e-07,0.2598326380703564,2.277407176775796e-20,2.849687179181705e-17,8.361245370761155e-15,1.672249074152231e-15,10.819286424451422,10.819286424451422,0.3534207903530897,10.819286424451422,13538.019079795482,13538.019079795482,442.2304036783207,3057491.052604919,3057491.052604919,99875.43188310778,338833592.50374985,11068274.871641899,3972179.830374235,794435.9660748469,3972179.830374235,794435.9660748469,129754.48472302039,25950.89694460408,1251.285764022271,367138.7995974641,73427.75991949282,1251.285764022271,225.84478826507225,367138.79959746415,73427.75991949282,0.09499251085960272,225.84478826507362,2.277407176775796e-20,2.849687179181705e-17,1251.285764022271,0.92787015179317,0.004427819688388389,3.7763068356738538e-06,293.409235646774,4.660369474425821e-07,8.361245370761155e-15,1.672249074152231e-15,0.2598326380703564,3972179.830374235,794435.9660748469,129754.48472302039,25950.89694460408,367138.7995974641,73427.75991949282,293.409235646774
3,13.00228991319704,overdensity_lt_2.5527638191,1946724,63150054995.41648,0.9867196093463941,3.67154818329849e-07,proper pMpc/h,1.6709755042137915e+18,redshift_table,6.775134079308563e-14,6.3e-18,0,5995849160.0,0.0004885955416853388,3.109840035177304e-07,0.0004271779340496979,6.141760763563754e-05,6.619052367046482e-05,1.075310063580868e-27,1.5062827223242434e-54,1.3026839849722425,1.3026839147016487,4.778737645555814e-07,0.26643209640451754,2.497539213466616e-20,2.894187778908749e-17,8.573611649515922e-15,1.7147223299031844e-15,11.08309811461298,11.08309811461298,0.37401566867484587,11.08309811461298,12843.26866333234,12843.26866333234,433.41524792182884,2855986.3249688586,2855986.3249688586,96379.5162700086,316502678.17016715,10680854.72031647,3804632.119320433,760926.4238640867,3804632.119320433,760926.4238640867,128392.98285135848,25678.596570271697,1158.815750841237,343282.36382785917,68656.47276557185,1158.815750841237,222.37223247713632,343282.36382785917,68656.47276557185,0.09499251085960272,222.3722324771375,2.497539213466616e-20,2.894187778908749e-17,1158.815750841237,0.9278912483214417,0.004496964341547508,3.7763068356738538e-06,296.2355004051808,4.778737645555814e-07,8.573611649515922e-15,1.7147223299031844e-15,0.26643209640451754,3804632.119320433,760926.4238640867,128392.98285135848,25678.596570271697,343282.36382785917,68656.47276557185,296.2355004051808
3,13.00228991319704,overdensity_lt_3.06030150754,1976057,63405032423.187225,0.9907036316554857,3.67154818329849e-07,proper pMpc/h,1.6709755042137915e+18,redshift_table,6.775134079308563e-14,6.3e-18,0,5995849160.0,0.000494531649447444,3.2527962968982336e-07,0.0004315655497619446,6.29660996854923e-05,6.785849548522623e-05,1.088374365993324e-27,1.575525103451559e-54,1.3300522995737316,1.330052195955473,4.872479145393696e-07,0.2716585277707881,2.6852058402722676e-20,2.9239144636477125e-17,8.741794813075988e-15,1.7483589626151976e-15,11.337156423214207,11.337156423214207,0.3925236975358101,11.337156423214207,12345.003554405886,12345.003554405886,427.4181514639724,2717276.4018133217,2717276.4018133217,94079.62108404741,301130734.05976105,10425978.50487264,3690856.534314556,738171.3068629113,3690856.534314556,738171.3068629113,127787.65678462954,25557.53135692591,1088.8977000553675,325553.9922477455,65110.798449549104,1088.8977000553675,220.11143130400603,325553.9922477455,65110.79844954911,0.09499251085960272,220.11143130400802,2.6852058402722676e-20,2.9239144636477125e-17,1088.8977000553675,0.9279029727265458,0.004543153411323036,3.7763068356738538e-06,298.97573686783613,4.872479145393696e-07,8.741794813075988e-15,1.7483589626151976e-15,0.2716585277707881,3690856.534314556,738171.3068629113,127787.65678462954,25557.53135692591,325553.9922477455,65110.798449549104,298.97573686783613
