mask_name,overdensity_threshold,selected_volume,volume_fraction,nHII_V,ne_V,electron_density_nHII_over_ne
all-gas,,270735808725594.78,1.0,2.105370313262372e-09,2.379334077509868e-09,0.8848569577357469
overdensity_lt_-1,-1.0,0.0,0.0,,,
overdensity_lt_-0.869346733668,-0.8693467336683417,0.0,0.0,,,
overdensity_lt_-0.738693467337,-0.7386934673366834,0.0,0.0,,,
overdensity_lt_-0.608040201005,-0.6080402010050251,45158817606.910034,0.00016680031289352236,6.766738634052464e-10,8.255919467178468e-10,0.8196226551087054
overdensity_lt_-0.477386934673,-0.4773869346733668,5127331685191.714,0.018938505805076337,8.738546575450792e-10,1.0661154555381492e-09,0.8196623104989869
overdensity_lt_-0.346733668342,-0.3467336683417085,33245652691380.727,0.12279739738852563,1.0448842096737932e-09,1.2748041619914058e-09,0.8196429230679256
overdensity_lt_-0.21608040201,-0.2160804020100502,81401884140295.75,0.30066907116376657,1.1929395476993657e-09,1.4555399226534905e-09,0.8195855909775412
overdensity_lt_-0.0854271356784,-0.08542713567839189,138033325959474.11,0.5098451017958184,1.3308649615261375e-09,1.6239181027448704e-09,0.8195394578560384
overdensity_lt_0.0452261306533,0.045226130653266416,178193275286429.12,0.6581814061657338,1.426389820268665e-09,1.7405162996883561e-09,0.8195210929791716
overdensity_lt_0.175879396985,0.1758793969849246,207538204358292.06,0.7665709435896717,1.5059135749787987e-09,1.8375786960865361e-09,0.8195097049100103
overdensity_lt_0.306532663317,0.306532663316583,227895198030505.72,0.8417623036393006,1.5699429610536006e-09,1.9157263300950757e-09,0.819502731883257
overdensity_lt_0.437185929648,0.43718592964824143,241591996145601.12,0.892353314040063,1.6202425770688234e-09,1.9771155218501207e-09,0.8194981826619078
overdensity_lt_0.56783919598,0.5678391959798996,250726557799711.7,0.9260930756811577,1.6592857332377307e-09,2.0247650956916504e-09,0.8194954253055841
overdensity_lt_0.698492462312,0.6984924623115578,256942848833209.97,0.9490538028297368,1.6899659454183267e-09,2.0622078155053866e-09,0.8194935218030709
overdensity_lt_0.829145728643,0.8291457286432162,261132233415036.47,0.9645278718180496,1.7135711234669337e-09,2.0910160888551355e-09,0.8194920797597215
overdensity_lt_0.959798994975,0.9597989949748746,263938803919193.38,0.974894326545143,1.7314655041799893e-09,2.112854306233896e-09,0.8194911968474904
overdensity_lt_1.09045226131,1.0904522613065328,265849949955877.12,0.9819534076681015,1.7451252347320211e-09,2.1295244816505727e-09,0.8194905716131483
overdensity_lt_1.22110552764,1.221105527638191,267172089819863.12,0.9868369133639663,1.7556231347445232e-09,2.142336500702834e-09,0.8194899046758332
overdensity_lt_1.35175879397,1.3517587939698492,268100870130111.94,0.9902674913677433,1.7637610549928806e-09,2.152266742555542e-09,0.819489991699932
overdensity_lt_1.4824120603,1.4824120603015079,268762304712933.06,0.9927105911037355,1.7700940410013934e-09,2.159995364602561e-09,0.8194897405842769
overdensity_lt_1.61306532663,1.613065326633166,269239792506454.78,0.9944742580370803,1.7750629066032666e-09,2.1660592749679174e-09,0.8194895343432178
overdensity_lt_1.74371859296,1.7437185929648242,269588918729234.6,0.9957638038286889,1.7789890364903305e-09,2.170850686038603e-09,0.8194893586793173
overdensity_lt_1.8743718593,1.8743718592964829,269846506239473.84,0.9967152387772159,1.7821034580902976e-09,2.174651471268499e-09,0.8194892292560224
overdensity_lt_2.00502512563,2.005025125628141,270038697764602.1,0.9974251246472562,1.784590819801803e-09,2.1776869696443377e-09,0.8194891390167359
overdensity_lt_2.13567839196,2.1356783919597992,270184073373349.78,0.997962089481838,1.786596236516637e-09,2.1801342522644852e-09,0.8194890909405768
overdensity_lt_2.26633165829,2.2663316582914574,270295265577790.4,0.9983727932042751,1.7884935382130239e-09,2.1824091778812337e-09,0.8195042232865616
overdensity_lt_2.39698492462,2.3969849246231156,270381006685575.94,0.9986894897956463,1.7898557434471074e-09,2.184066878042322e-09,0.8195059233037022
overdensity_lt_2.52763819095,2.5276381909547743,270447725906985.78,0.998935926429662,1.7909757456545186e-09,2.1854283854299446e-09,0.8195078628953452
overdensity_lt_2.65829145729,2.6582914572864325,270500165188591.0,0.9991296181391262,1.7918793894483704e-09,2.1865311301096343e-09,0.8195078335603319
overdensity_lt_2.78894472362,2.7889447236180906,270541726746992.0,0.9992831314796651,1.792631507397449e-09,2.187448905106101e-09,0.8195078308859965
overdensity_lt_2.91959798995,2.9195979899497493,270574818019141.3,0.9994053586512576,1.7932593619186236e-09,2.188215029180071e-09,0.819507835384241
overdensity_lt_3.05025125628,3.050251256281407,270601489530995.75,0.9995038735539591,1.79514610293696e-09,2.1903699450591664e-09,0.8195629724496011
overdensity_lt_3.18090452261,3.1809045226130657,270623028203322.72,0.9995834296068815,1.79559154743353e-09,2.1909135409864574e-09,0.8195629420525038
overdensity_lt_3.31155778894,3.3115577889447243,270640541603729.97,0.9996481177635376,1.7959693198175997e-09,2.191374498626623e-09,0.8195629368431404
overdensity_lt_3.44221105528,3.442211055276382,270654950064013.66,0.9997013373961806,1.7962928745960564e-09,2.1917692502923152e-09,0.8195629509614142
overdensity_lt_3.57286432161,3.5728643216080407,270666834005559.97,0.9997452323711463,1.797078519948045e-09,2.1926375827407186e-09,0.8195966967335118
overdensity_lt_3.70351758794,3.7035175879396984,270676685598546.34,0.9997816205867752,1.797346165734703e-09,2.1929590543346166e-09,0.8195985976947711
overdensity_lt_3.83417085427,3.834170854271357,270684900812809.25,0.9998119646121982,1.7975520851945923e-09,2.193210250205135e-09,0.8195986157854513
overdensity_lt_3.9648241206,3.9648241206030157,270691798121031.6,0.9998374407701355,1.7977324844791092e-09,2.193430145352584e-09,0.8195986948971797
overdensity_lt_4.09547738693,4.0954773869346734,270697589504576.25,0.9998588320429483,1.7978875624687511e-09,2.193619320506534e-09,0.819598708701014
overdensity_lt_4.22613065327,4.226130653266332,270702509998993.53,0.9998770065668151,1.7980234115779015e-09,2.1937850999890277e-09,0.819598697970414
