mask_name,overdensity_threshold,selected_volume,volume_fraction,nHII_V,ne_V,electron_density_nHII_over_ne
all-gas,,270735806332744.06,1.0,5.8552775124603735e-05,6.310966896016796e-05,0.9277940462904292
overdensity_lt_-1,-1.0,0.0,0.0,,,
overdensity_lt_-0.869346733668,-0.8693467336683417,1427543246.5396829,5.272827653927611e-06,4.526638976284225e-06,4.886184972540324e-06,0.9264158032746003
overdensity_lt_-0.738693467337,-0.7386934673366834,8407466307561.074,0.031054135104789188,9.553911834980998e-06,1.0309016082190098e-05,0.9267530246156448
overdensity_lt_-0.608040201005,-0.6080402010050251,53002596839555.33,0.19577239360209794,1.458561291211761e-05,1.5737742502314087e-05,0.9267919404560682
overdensity_lt_-0.477386934673,-0.4773869346733668,104805978241265.52,0.3871153197684358,1.872748756147161e-05,2.0206403371422472e-05,0.9268095473119939
overdensity_lt_-0.346733668342,-0.3467336683417085,144567722588694.88,0.5339808004967616,2.216054099598149e-05,2.3910412713051736e-05,0.9268154950702687
overdensity_lt_-0.21608040201,-0.2160804020100502,173472442926896.7,0.6407443672732849,2.5047856088058695e-05,2.7025788781683144e-05,0.9268131372740912
overdensity_lt_-0.0854271356784,-0.08542713567839189,194655929263090.62,0.7189884925079008,2.7506723070081797e-05,2.967908955735217e-05,0.9268048137705683
overdensity_lt_0.0452261306533,0.045226130653266416,209371732161320.78,0.7733433379107431,2.9533566252314616e-05,3.186648936142104e-05,0.9267907084885617
overdensity_lt_0.175879396985,0.1758793969849246,220033985457173.25,0.8127258393991061,3.126324239584798e-05,3.373342709709837e-05,0.9267733843306165
overdensity_lt_0.306532663317,0.306532663316583,228178927331503.3,0.8428103043417285,3.277774028476256e-05,3.536832944542244e-05,0.9267539858036704
overdensity_lt_0.437185929648,0.43718592964824143,234531919394394.28,0.8662759557786239,3.411577485465856e-05,3.6812926011019627e-05,0.9267335838625351
overdensity_lt_0.56783919598,0.5678391959798996,239571557534552.75,0.8848905535609526,3.530613926993623e-05,3.80982642259157e-05,0.9267125415629783
overdensity_lt_0.698492462312,0.6984924623115578,243631051224896.88,0.8998848527832537,3.6371550351936036e-05,3.924882789390707e-05,0.9266913766253464
overdensity_lt_0.829145728643,0.8291457286432162,246946882277055.28,0.9121323315969099,3.733107524731391e-05,4.028517719769747e-05,0.9266702505517984
overdensity_lt_0.959798994975,0.9597989949748746,249683585036306.47,0.9222407202741271,3.819870308674227e-05,4.122239178132142e-05,0.9266493630301861
overdensity_lt_1.09045226131,1.0904522613065328,251964210299102.6,0.930664523884327,3.898642882494048e-05,4.2073402870258274e-05,0.9266288478058907
overdensity_lt_1.22110552764,1.221105527638191,253882205137704.84,0.9377489020631222,3.970476535679303e-05,4.284954322666967e-05,0.9266088356358645
overdensity_lt_1.35175879397,1.3517587939698492,255510357864618.16,0.9437627084708061,4.0362174811066045e-05,4.3559935735244336e-05,0.9265894021604126
overdensity_lt_1.4824120603,1.4824120603015079,256904366259792.25,0.9489116705311137,4.096625937858758e-05,4.4212778761653996e-05,0.9265705645743727
overdensity_lt_1.61306532663,1.613065326633166,258107374416837.3,0.9533551468977622,4.152368357101172e-05,4.481526353185864e-05,0.926552256944624
overdensity_lt_1.74371859296,1.7437185929648242,259152837090314.5,0.9572167073157893,4.2040021945927e-05,4.537339530393016e-05,0.9265346281521403
overdensity_lt_1.8743718593,1.8743718592964829,260067335851473.0,0.9605945344807508,4.251956530779793e-05,4.5891808358543275e-05,0.9265175382848568
overdensity_lt_2.00502512563,2.005025125628141,260871916293811.88,0.9635663631916899,4.296607089687571e-05,4.637454908635312e-05,0.9265011033717967
overdensity_lt_2.13567839196,2.1356783919597992,261584006250391.78,0.9661965655510509,4.3383355437482745e-05,4.682574173971975e-05,0.9264851730193306
overdensity_lt_2.26633165829,2.2663316582914574,262217804722985.53,0.9685375875280804,4.377453293208679e-05,4.7248736388684994e-05,0.9264699180943557
overdensity_lt_2.39698492462,2.3969849246231156,262784415646428.53,0.9706304430358835,4.41418119602963e-05,4.7645923953727345e-05,0.9264551570700116
overdensity_lt_2.52763819095,2.5276381909547743,263292950772577.7,0.972508787585271,4.448750303538037e-05,4.8019792347292184e-05,0.9264409707071338
overdensity_lt_2.65829145729,2.6582914572864325,263751308520981.7,0.9742017950770125,4.481357432795063e-05,4.837246463160725e-05,0.926427352197986
overdensity_lt_2.78894472362,2.7889447236180906,264166209890865.6,0.9757342904476987,4.5121843044219006e-05,4.8705903808807264e-05,0.926414243770995
overdensity_lt_2.91959798995,2.9195979899497493,264542943568025.97,0.9771258081869421,4.5413619327425296e-05,4.902152872008126e-05,0.9264015324112481
overdensity_lt_3.05025125628,3.050251256281407,264886145680906.9,0.978393472473871,4.569030370859946e-05,4.932084013548678e-05,0.9263894042170803
overdensity_lt_3.18090452261,3.1809045226130657,265199861762946.4,0.9795522260435926,4.59533448148271e-05,4.960540998374358e-05,0.9263776840043593
overdensity_lt_3.31155778894,3.3115577889447243,265487349981242.03,0.9806141033851596,4.620354028749489e-05,4.9876094834724426e-05,0.9263664374807337
overdensity_lt_3.44221105528,3.442211055276382,265751447080864.25,0.9815895824073088,4.644195338407252e-05,5.0134043772283986e-05,0.9263556236360772
overdensity_lt_3.57286432161,3.5728643216080407,265995102166794.75,0.9824895560355884,4.6669664936803836e-05,5.038042965393816e-05,0.9263451157002139
overdensity_lt_3.70351758794,3.7035175879396984,266220419141600.12,0.9833217953239832,4.6887502708658846e-05,5.061613809270614e-05,0.9263350479797945
overdensity_lt_3.83417085427,3.834170854271357,266429099769818.94,0.9840925859742689,4.7095992129570206e-05,5.084173956034123e-05,0.9263253487555161
overdensity_lt_3.9648241206,3.9648241206030157,266622312080228.62,0.9848062422616541,4.729536098998071e-05,5.105748156325351e-05,0.9263159784210659
overdensity_lt_4.09547738693,4.0954773869346734,266802251271823.5,0.9854708724560575,4.748678660785434e-05,5.126463788072584e-05,0.9263068768444013
overdensity_lt_4.22613065327,4.226130653266332,266969743498027.3,0.9860895280689688,4.767044478816161e-05,5.146338720001289e-05,0.926298236120565
overdensity_lt_4.3567839196,4.356783919597991,267126127860657.4,0.9866671552574385,4.784704765560666e-05,5.1654511288630565e-05,0.9262898140348499
overdensity_lt_4.48743718593,4.4874371859296485,267272357805953.0,0.9872072757065079,4.801690820313671e-05,5.1838339457724375e-05,0.9262817579698102
overdensity_lt_4.61809045226,4.618090452261307,267409190440294.78,0.9877126858929005,4.818047698996368e-05,5.201536572214939e-05,0.9262739254267566
overdensity_lt_4.74874371859,4.748743718592966,267537682828857.4,0.988187290232471,4.833826558995735e-05,5.218613805745843e-05,0.9262663877663364
overdensity_lt_4.87939698492,4.8793969849246235,267658241542399.44,0.9886325904503294,4.849015317832619e-05,5.235052888541084e-05,0.926259088699284
overdensity_lt_5.01005025126,5.010050251256282,267771682507274.97,0.9890516002828748,4.863680981907696e-05,5.250926085222995e-05,0.9262520368730628
overdensity_lt_5.14070351759,5.14070351758794,267878562707835.94,0.9894463770285469,4.877847910760106e-05,5.266259734812922e-05,0.9262452207806621
overdensity_lt_5.27135678392,5.2713567839195985,267979394349454.62,0.9898188125884549,4.891534811743474e-05,5.2810740484409146e-05,0.9262386338225194
