particle,backend,grid,batch,result_count,redshift_min,redshift_max,baseline_for_grid_comparison
dm,pylians,256,1,6,2.220446e-16,3.0081311,yes
dm,pylians,512,1,6,2.220446e-16,3.0081311,yes
gas,pylians,256,1,1,2.220446e-16,2.220446e-16,yes
gas,pylians,512,1,1,2.220446e-16,2.220446e-16,yes
