particle,backend,grid,batch,result_count,redshift_min,redshift_max,baseline_for_grid_comparison
dm,pylians,256,1,6,0.34506262,4.9994858,yes
dm,pylians,512,1,6,0.34506262,4.9994858,yes
gas,pylians,256,1,1,4.9994858,4.9994858,yes
gas,pylians,512,1,1,4.9994858,4.9994858,yes
