mask_name,overdensity_threshold,selected_volume,volume_fraction,nHII_V,ne_V,electron_density_nHII_over_ne
all-gas,,270735806534707.9,1.0,3.213306982432028e-05,3.4523559985414364e-05,0.9307577155396481
overdensity_lt_-1,-1.0,0.0,0.0,,,
overdensity_lt_-0.869346733668,-0.8693467336683417,0.0,0.0,,,
overdensity_lt_-0.738693467337,-0.7386934673366834,1068155432032.9841,0.003945379245194331,1.2333203782053669e-06,1.3307536823966064e-06,0.9267833668393327
overdensity_lt_-0.608040201005,-0.6080402010050251,23241059947416.44,0.08584405677583314,3.148207585823677e-06,3.3961346894872798e-06,0.9269972700343541
overdensity_lt_-0.477386934673,-0.4773869346733668,70120744541754.266,0.2590006303165699,5.2197700126826345e-06,5.629883289669155e-06,0.9271542133494882
overdensity_lt_-0.346733668342,-0.3467336683417085,115053145380613.33,0.42496464303425524,7.23595704626839e-06,7.803449845360822e-06,0.9272766775800053
overdensity_lt_-0.21608040201,-0.2160804020100502,151416110725937.94,0.5592762651678533,9.12522351008315e-06,9.839829502953149e-06,0.9273761814007518
overdensity_lt_-0.0854271356784,-0.08542713567839189,180052203552638.94,0.665047619142895,1.0874754779426171e-05,1.1725318814120552e-05,0.9274591976407444
overdensity_lt_0.0452261306533,0.045226130653266416,199335273735753.97,0.7362722954423817,1.2347253524278813e-05,1.3312087941488915e-05,0.9275219318373742
overdensity_lt_0.175879396985,0.1758793969849246,213238800645194.38,0.7876268875349427,1.364723709836293e-05,1.4712830438035816e-05,0.9275738720594443
overdensity_lt_0.306532663317,0.306532663316583,223809065116734.4,0.8266696155982693,1.4808074955931273e-05,1.5963555334855537e-05,0.9276176043063955
overdensity_lt_0.437185929648,0.43718592964824143,231957156474603.16,0.8567657135697956,1.584966349697086e-05,1.7085741060722532e-05,0.9276544365644623
overdensity_lt_0.56783919598,0.5678391959798996,238314644492376.25,0.8802479714179391,1.678371045670265e-05,1.8092026404604918e-05,0.9276854942258284
overdensity_lt_0.698492462312,0.6984924623115578,243345938131369.8,0.8988317476217289,1.7623262637923573e-05,1.8996477170441603e-05,0.9277121478789371
overdensity_lt_0.829145728643,0.8291457286432162,247379368857077.5,0.9137297796823334,1.8380925148873715e-05,1.9812695197153265e-05,0.9277347158459658
overdensity_lt_0.959798994975,0.9597989949748746,250630602713513.66,0.9257386598450663,1.9066577283513632e-05,2.0551323043107083e-05,0.9277542493746438
overdensity_lt_1.09045226131,1.0904522613065328,253273749010998.34,0.9355014848341793,1.968814101630533e-05,2.122091807508776e-05,0.9277704643428302
overdensity_lt_1.22110552764,1.221105527638191,255444338618033.22,0.9435188565842164,2.025233154854666e-05,2.1828706534363115e-05,0.9277843154226798
overdensity_lt_1.35175879397,1.3517587939698492,257245070256490.44,0.9501701069729468,2.076683528983086e-05,2.2382970186511485e-05,0.9277962270773811
overdensity_lt_1.4824120603,1.4824120603015079,258752638894330.78,0.9557385194305988,2.1238175640445983e-05,2.289074556980108e-05,0.9278061990459904
overdensity_lt_1.61306532663,1.613065326633166,260025437869950.9,0.9604397777972381,2.1670006136390018e-05,2.3355960675947405e-05,0.9278148065519897
overdensity_lt_1.74371859296,1.7437185929648242,261109212218905.4,0.9644428476638593,2.2067255077517245e-05,2.3783930103017783e-05,0.9278220622889098
overdensity_lt_1.8743718593,1.8743718592964829,262038344868414.0,0.9678747271089947,2.24339984565901e-05,2.4179043228386704e-05,0.9278282124187658
overdensity_lt_2.00502512563,2.005025125628141,262840786281822.94,0.9708386550196757,2.2773990507785002e-05,2.4545341650880624e-05,0.9278335103951559
overdensity_lt_2.13567839196,2.1356783919597992,263538207596460.75,0.9734146767272011,2.3089829741285705e-05,2.488561755684407e-05,0.9278383262357703
overdensity_lt_2.26633165829,2.2663316582914574,264147598702631.88,0.9756655467320632,2.3383318865927982e-05,2.520182667280023e-05,0.9278422222927625
overdensity_lt_2.39698492462,2.3969849246231156,264683724650323.2,0.9776458017805308,2.365717248159477e-05,2.549688731017736e-05,0.927845512818804
overdensity_lt_2.52763819095,2.5276381909547743,265156786471180.03,0.9793931207883555,2.3913326172144598e-05,2.5772878925788754e-05,0.927848465862172
overdensity_lt_2.65829145729,2.6582914572864325,265576624046747.3,0.9809438487136382,2.4153490532212086e-05,2.603165473073963e-05,0.9278507563981438
overdensity_lt_2.78894472362,2.7889447236180906,265950489760777.7,0.9823247732349111,2.4378792489547167e-05,2.6274418082596286e-05,0.9278528039292809
overdensity_lt_2.91959798995,2.9195979899497493,266285262048942.56,0.9835613008019507,2.459103103269766e-05,2.650310675108556e-05,0.9278546573295758
overdensity_lt_3.05025125628,3.050251256281407,266585983024066.62,0.9846720551531137,2.479110382548969e-05,2.6718685919008594e-05,0.927856403591033
overdensity_lt_3.18090452261,3.1809045226130657,266857061013961.1,0.9856733190544947,2.498003502189829e-05,2.6922264604259264e-05,0.927857867422724
overdensity_lt_3.31155778894,3.3115577889447243,267102197549040.75,0.9865787646186308,2.5158607669896815e-05,2.7114684709770722e-05,0.9278591264913717
overdensity_lt_3.44221105528,3.442211055276382,267324525398827.9,0.987399963161346,2.5327452019858013e-05,2.7296619503904502e-05,0.9278603900470233
overdensity_lt_3.57286432161,3.5728643216080407,267527013141419.22,0.9881478795348139,2.5487986111187022e-05,2.746960336129519e-05,0.9278614538388175
overdensity_lt_3.70351758794,3.7035175879396984,267712009581213.12,0.9888311893716684,2.5640552666925305e-05,2.7634006106177867e-05,0.927862307347218
overdensity_lt_3.83417085427,3.834170854271357,267881214721273.3,0.9894561718674303,2.5785860388476974e-05,2.7790588584653184e-05,0.9278630537072078
overdensity_lt_3.9648241206,3.9648241206030157,268036532459086.03,0.9900298593297602,2.592384470296436e-05,2.7939279190130688e-05,0.9278637622162327
overdensity_lt_4.09547738693,4.0954773869346734,268179309178778.5,0.9905572248139196,2.6055413677354897e-05,2.8081054783800334e-05,0.9278644936224402
overdensity_lt_4.22613065327,4.226130653266332,268310906433521.0,0.9910432974041207,2.6181365944938186e-05,2.8216778654137718e-05,0.9278651636975201
overdensity_lt_4.3567839196,4.356783919597991,268432359605883.38,0.9914919014285271,2.630164181185688e-05,2.834638611176863e-05,0.9278657853650406
overdensity_lt_4.48743718593,4.4874371859296485,268544810620342.97,0.9919072547425157,2.6416798223597808e-05,2.8470478534145357e-05,0.9278663227214632
overdensity_lt_4.61809045226,4.618090452261307,268649072946660.44,0.9922923620087173,2.652714221563722e-05,2.858938108981005e-05,0.9278669633422789
overdensity_lt_4.74874371859,4.748743718592966,268746027668923.22,0.9926504776325934,2.663285935525671e-05,2.870329820903388e-05,0.927867562859883
overdensity_lt_4.87939698492,4.8793969849246235,268836245666728.7,0.9929837102365856,2.6734409360924758e-05,2.881272612449757e-05,0.9278680970834705
overdensity_lt_5.01005025126,5.010050251256282,268920306664986.94,0.9932942011145163,2.6831770210643983e-05,2.8917638025992053e-05,0.9278686657093768
overdensity_lt_5.14070351759,5.14070351758794,268998958146304.06,0.99358471119637,2.6925513007911735e-05,2.9018646978899107e-05,0.9278693464754096
overdensity_lt_5.27135678392,5.2713567839195985,269072441883636.62,0.9938561335038701,2.7015563309575172e-05,2.911567933373376e-05,0.9278699287732103
overdensity_lt_5.40201005025,5.402010050251257,269141315272262.94,0.9941105268532681,2.7102496195177495e-05,2.9209351085379455e-05,0.9278705341983262
overdensity_lt_5.53266331658,5.532663316582915,269205941383897.66,0.9943492322999613,2.7186236787620382e-05,2.929958401808079e-05,0.9278710841370219
overdensity_lt_5.66331658291,5.6633165829145735,269266702968191.28,0.9945736635825144,2.7267081803730922e-05,2.9386691503691838e-05,0.9278717816976902
overdensity_lt_5.79396984925,5.793969849246231,269323827176698.1,0.9947846597164871,2.7345275162681557e-05,2.947094182658285e-05,0.9278724556409006
overdensity_lt_5.92462311558,5.92462311557789,269377578213032.8,0.9949831965743291,2.7420704720391104e-05,2.955221262717566e-05,0.9278731534022444
overdensity_lt_6.05527638191,6.0552763819095485,269428319487304.94,0.9951706164613459,2.749363863544134e-05,2.9630797366560314e-05,0.9278737354017056
overdensity_lt_6.18592964824,6.185929648241206,269476112100634.84,0.9953471450629432,2.7564165511907693e-05,2.970678829442228e-05,0.9278743039712278
overdensity_lt_6.31658291457,6.316582914572865,269521384293841.62,0.9955143641455841,2.7632605574206234e-05,2.9780523780295123e-05,0.9278750695610632
overdensity_lt_6.4472361809,6.4472361809045236,269564245695987.44,0.995672678639313,2.7698742389206836e-05,2.9851777333496104e-05,0.9278758205839426
overdensity_lt_6.57788944724,6.577889447236181,269604781543713.56,0.9958224033774071,2.7762812261051144e-05,2.9920807469310093e-05,0.92787643814518
overdensity_lt_6.70854271357,6.70854271356784,269643260812686.7,0.9959645318585476,2.782499317507949e-05,2.9987797661889156e-05,0.9278771815391322
overdensity_lt_6.8391959799,6.839195979899499,269679712085568.53,0.9960991696567333,2.788516608138709e-05,3.0052621561031075e-05,0.9278779897706327
overdensity_lt_6.96984924623,6.969849246231156,269714277840595.62,0.9962268430349596,2.7943474371465123e-05,3.0115434056579313e-05,0.927878851719898
overdensity_lt_7.10050251256,7.100502512562814,269747227554449.5,0.9963485473424747,2.8000322055966815e-05,3.0176675098709046e-05,0.9278796277050637
overdensity_lt_7.23115577889,7.231155778894474,269778543186490.3,0.9964642159436902,2.8055448561349246e-05,3.0236058451340972e-05,0.9278804843726245
