mask_name,overdensity_threshold,selected_volume,volume_fraction,nHII_V,ne_V,electron_density_nHII_over_ne
all-gas,,270735806355013.88,1.0,5.5992518761454267e-05,6.03313856446411e-05,0.9280827576422118
overdensity_lt_-1,-1.0,0.0,0.0,,,
overdensity_lt_-0.869346733668,-0.8693467336683417,408573292.17104346,1.5091217437093796e-06,3.4804191188673777e-06,3.75634955812717e-06,0.9265429281833492
overdensity_lt_-0.738693467337,-0.7386934673366834,6290934659510.399,0.02323643386594067,7.67680162074085e-06,8.283584847151445e-06,0.9267487159717746
overdensity_lt_-0.608040201005,-0.6080402010050251,47110910428635.43,0.1740106381305886,1.242380286507602e-05,1.3404922204448784e-05,0.9268090239981286
overdensity_lt_-0.477386934673,-0.4773869346733668,98848932422199.06,0.36511215030264293,1.645677798931038e-05,1.7755701962790848e-05,0.9268446848115318
overdensity_lt_-0.346733668342,-0.3467336683417085,139756673878550.73,0.5162105292245268,1.9868367064304086e-05,2.143607376237804e-05,0.9268659589693425
overdensity_lt_-0.21608040201,-0.2160804020100502,169942869105848.06,0.6277074000437284,2.2769303529464033e-05,2.456561165489612e-05,0.9268771260139143
overdensity_lt_-0.0854271356784,-0.08542713567839189,192299808312080.84,0.7102858351138065,2.525776097525528e-05,2.725027988894096e-05,0.926880790883388
overdensity_lt_0.0452261306533,0.045226130653266416,207733529313292.25,0.7672924099329986,2.7311837552070247e-05,2.9466517303240515e-05,0.9268770133573501
overdensity_lt_0.175879396985,0.1758793969849246,218883018409389.56,0.8084745839727231,2.9070619767695658e-05,3.136433350234907e-05,0.9268687238489662
overdensity_lt_0.306532663317,0.306532663316583,227394600713866.84,0.8399132858536117,3.061212700078407e-05,3.302785960718128e-05,0.9268577305605371
overdensity_lt_0.437185929648,0.43718592964824143,234023610896717.9,0.8643984482416207,3.197585346084869e-05,3.449968236301829e-05,0.9268448655378055
overdensity_lt_0.56783919598,0.5678391959798996,239268255178395.66,0.8837702644497822,3.3188651177784276e-05,3.580875593610565e-05,0.9268306119599217
overdensity_lt_0.698492462312,0.6984924623115578,243482818990354.53,0.8993373365290194,3.427457825077376e-05,3.698100946402917e-05,0.9268156480182643
overdensity_lt_0.829145728643,0.8291457286432162,246916442170271.5,0.9120198967937465,3.5251912455787914e-05,3.8036152916383216e-05,0.9268001559801267
overdensity_lt_0.959798994975,0.9597989949748746,249741913771406.84,0.9224561654173002,3.61354831826128e-05,3.899016532920909e-05,0.9267845590678291
overdensity_lt_1.09045226131,1.0904522613065328,252086648417483.7,0.9311167658662937,3.6936740753369485e-05,3.985539344131997e-05,0.9267689405137177
overdensity_lt_1.22110552764,1.221105527638191,254052158255413.97,0.9383766472406581,3.7666538215489796e-05,4.064354630611119e-05,0.9267532397837595
overdensity_lt_1.35175879397,1.3517587939698492,255714940893337.3,0.94451836399512,3.83339820160373e-05,4.136443213227683e-05,0.9267377802613453
overdensity_lt_1.4824120603,1.4824120603015079,257133834208900.9,0.9497592419368541,3.894678413704955e-05,4.20263704263416e-05,0.9267225254512629
overdensity_lt_1.61306532663,1.613065326633166,258354047469690.3,0.9542662677241611,3.951132156692761e-05,4.2636232522330224e-05,0.9267076200092027
overdensity_lt_1.74371859296,1.7437185929648242,259410993746373.94,0.9581702444124077,4.003345516819805e-05,4.320033462585323e-05,0.9266931729792676
overdensity_lt_1.8743718593,1.8743718592964829,260332913104110.75,0.9615754805728878,4.0517737041940844e-05,4.372358962518498e-05,0.9266791082176484
overdensity_lt_2.00502512563,2.005025125628141,261142324641474.62,0.9645651535986364,4.096863148600229e-05,4.4210816193162907e-05,0.9266653505559571
overdensity_lt_2.13567839196,2.1356783919597992,261856834093195.22,0.9672042926964166,4.138945134754281e-05,4.466557193510069e-05,0.9266522190218878
overdensity_lt_2.26633165829,2.2663316582914574,262490792526999.88,0.9695459055120239,4.1783295931921095e-05,4.509121672647492e-05,0.926639353854215
overdensity_lt_2.39698492462,2.3969849246231156,263056120870058.56,0.9716340236323044,4.215264377601636e-05,4.549041572959982e-05,0.9266269190982216
