mask_name,overdensity_threshold,selected_volume,volume_fraction,nHII_V,ne_V,electron_density_nHII_over_ne
all-gas,,270735807446159.34,1.0,6.38236855817513e-07,6.76181692621768e-07,0.9438836673363176
overdensity_lt_-1,-1.0,0.0,0.0,,,
overdensity_lt_-0.869346733668,-0.8693467336683417,0.0,0.0,,,
overdensity_lt_-0.738693467337,-0.7386934673366834,857845523.2393074,3.16857061255152e-06,1.7664536370131758e-10,2.1590270564804837e-10,0.8181711441322752
overdensity_lt_-0.608040201005,-0.6080402010050251,1747718366728.5627,0.006455438544368121,2.4117447861118527e-09,2.637928548946463e-09,0.9142570548679404
overdensity_lt_-0.477386934673,-0.4773869346733668,22209342481366.094,0.08203326590178811,1.3902293830703393e-08,1.5030788769687953e-08,0.924921109844857
overdensity_lt_-0.346733668342,-0.3467336683417085,64150113006947.84,0.23694727938676985,3.0041876503104105e-08,3.2424962043138086e-08,0.9265046004722063
overdensity_lt_-0.21608040201,-0.2160804020100502,110382361723748.17,0.40771245874338097,5.226634668899969e-08,5.636113354642749e-08,0.9273473296264576
overdensity_lt_-0.0854271356784,-0.08542713567839189,154738957017898.4,0.5715496538028906,8.216607000258611e-08,8.854905482847021e-08,0.9279158333395123
overdensity_lt_0.0452261306533,0.045226130653266416,184411911596019.84,0.6811507991335555,1.1051921924864411e-07,1.1906255735754417e-07,0.9282449638365783
overdensity_lt_0.175879396985,0.1758793969849246,206118796892866.03,0.761328170208355,1.401583840230806e-07,1.5094871665097194e-07,0.9285165659749128
overdensity_lt_0.306532663317,0.306532663316583,222094174330900.34,0.8203354274630545,1.6970695537569524e-07,1.8273012927314837e-07,0.928730013220831
overdensity_lt_0.437185929648,0.43718592964824143,233782051257921.34,0.863506210955908,1.9870444734798402e-07,2.1391285897079617e-07,0.928903705480892
overdensity_lt_0.56783919598,0.5678391959798996,242350378415048.78,0.895154507640237,2.2582401667217854e-07,2.4306868161884973e-07,0.9290543527375849
overdensity_lt_0.698492462312,0.6984924623115578,248742650674493.2,0.9187652457976402,2.5162822960039666e-07,2.708039187875182e-07,0.9291897647826604
overdensity_lt_0.829145728643,0.8291457286432162,253528520678236.94,0.9364425159337507,2.7564605219257467e-07,2.966160503234731e-07,0.9293025508632129
overdensity_lt_0.959798994975,0.9597989949748746,257099937593683.25,0.9496340362913102,2.976413372934754e-07,3.202484049348103e-07,0.9294077119730331
overdensity_lt_1.09045226131,1.0904522613065328,259796751059656.88,0.9595950883272879,3.1761024266084836e-07,3.4170156729572135e-07,0.9294960078013823
