mask_name,overdensity_threshold,selected_volume,volume_fraction,nHII_V,ne_V,electron_density_nHII_over_ne
all-gas,,270735806268931.75,1.0,5.851334215960995e-05,6.311150240935143e-05,0.9271422787574116
overdensity_lt_-1,-1.0,0.0,0.0,,,
overdensity_lt_-0.869346733668,-0.8693467336683417,9278678624.093307,3.427207783102194e-05,5.80070897905979e-06,6.259042702605564e-06,0.9267725520781357
overdensity_lt_-0.738693467337,-0.7386934673366834,13338726254216.455,0.049268423109747855,1.2016710560305065e-05,1.2966080795388394e-05,0.926780478228935
overdensity_lt_-0.608040201005,-0.6080402010050251,63989543083050.94,0.23635419328128246,1.693304701376211e-05,1.8270850773049425e-05,0.9267793396210836
overdensity_lt_-0.477386934673,-0.4773869346733668,115170858380577.34,0.42539943263424096,2.0827601440566454e-05,2.2473345469650662e-05,0.9267690682143112
overdensity_lt_-0.346733668342,-0.3467336683417085,152719184886689.12,0.564089349655463,2.3972885314751234e-05,2.586765010556087e-05,0.9267515687324721
overdensity_lt_-0.21608040201,-0.2160804020100502,179398348024999.66,0.6626325143220869,2.658620846358349e-05,2.868824070084065e-05,0.9267284369516752
overdensity_lt_-0.0854271356784,-0.08542713567839189,198632039440618.53,0.7336748034107837,2.879683453110348e-05,3.1074551846992495e-05,0.9267015232559352
overdensity_lt_0.0452261306533,0.045226130653266416,212141617253831.72,0.783574290292078,3.062035970038809e-05,3.304338248464155e-05,0.9266714663554897
overdensity_lt_0.175879396985,0.1758793969849246,222009206268674.53,0.8200215897861131,3.2173578966231706e-05,3.4720698859942884e-05,0.926639728538132
overdensity_lt_0.306532663317,0.306532663316583,229553352745571.44,0.8478869341632178,3.3532375249227284e-05,3.618832413135326e-05,0.9266075745180782
overdensity_lt_0.437185929648,0.43718592964824143,235456372684738.56,0.8696905515735557,3.473448573576384e-05,3.748694241163184e-05,0.9265755887571685
overdensity_lt_0.56783919598,0.5678391959798996,240155085502711.62,0.8870458947131538,3.5804848811882e-05,3.864343908434278e-05,0.9265440566439932
overdensity_lt_0.698492462312,0.6984924623115578,243955506569027.44,0.9010832735094432,3.676458301438225e-05,3.968057729000289e-05,0.9265133101691216
