snapshot,redshift,mask_name,selected_cells,volume_total,volume_fraction,lambda_mfp_input,lambda_mfp_units,lambda_mfp_cm,GammaHI_source,GammaHI_s_1,sigma_hi_cm2,photon_band_used,c_tilde_cm_s,nH_V,nH2_V,nHI_V,nHII_V,ne_V,gas_density_V_g_cm3,gas_density_squared_V_g2_cm6,C_standard_raw_volume,C_raw_volume_nH,nGamma_V,nGamma_ctilde_sigma_over_Gamma,R_rec,R_ion,R_gamma_c,R_gamma_ctilde,C5,C5_paper_actual,C5_chi_nH2,C5_neHII,C7,C7_paper_actual,C7_chi_nH2,C8,C8_corrected_actual,C8_corrected_chi_nH2,C8_paper_literal_actual,C8_paper_literal_chi_nH2,C13_c,C13_ctilde,C13_c_actual,C13_ctilde_actual,C13_c_chi_nH2,C13_ctilde_chi_nH2,Q6,Q12_c,Q12_ctilde,C7_over_C5,C8_over_C7,C13c_over_C5,C13ctilde_over_C5,nHI_mfp,nHI_mfp_over_nHI_V,recombination_rate,photoionization_rate,ionization_equilibrium_ratio,electron_density_nHII_over_ne,lambda_mfp_nHI_sigma_HI,Gamma_lambda_mfp_over_c,photon_photoionization_rate_ratio,nGamma_V_g0p1p2,R_gamma_c_g0p1p2,R_gamma_ctilde_g0p1p2,nGamma_ctilde_sigma_over_Gamma_g0p1p2,C13_c_actual_g0p1p2,C13_ctilde_actual_g0p1p2,C13_c_chi_nH2_g0p1p2,C13_ctilde_chi_nH2_g0p1p2,Q12_c_g0p1p2,Q12_ctilde_g0p1p2,photon_photoionization_rate_ratio_g0p1p2
75,5.72850223253207,all-gas,9145641578,270735815424089.44,1.0,2.9539865563620413,proper pMpc/h,1.3455934592549803e+25,redshift_table,2.92299006866385e-13,6.3e-18,0+1+2,5995849160.0,5.786889271382842e-05,7.325453712858835e-07,1.448006030578983e-06,5.6420886683249446e-05,6.0841341502425286e-05,1.273675860007368e-28,3.690089735343619e-54,227.46736253204966,218.74804663445437,2.799862688918584e-05,3.6182672513353022,1.728686673287654e-19,4.232507246747727e-19,6.23797412063918e-20,1.247594824127836e-20,219.0715054885339,219.0715054885339,184.54505794862962,219.0715054885339,536.373507625152,536.373507625152,451.83913729927895,4.369608541436389,4.369608541436389,3.6809427118051716,3.1401570231884036e+16,2.645257120590843e+16,79.05205743317153,15.810411486634306,79.05205743317153,15.810411486634306,66.59317234083007,13.318634468166012,2.448394675651807,0.3608504778240504,0.07217009556481008,2.448394675651807,0.008146577859117751,0.3608504778240504,0.07217009556481008,1.1796293868583713e-08,0.008146577859117743,1.728686673287654e-19,4.232507246747727e-19,2.448394675651807,0.9273445537192893,122.75092895365734,131.1959728440314,0.1473824793904951,2.799862688918584e-05,6.23797412063918e-20,1.247594824127836e-20,3.6182672513353022,79.05205743317153,15.810411486634306,66.59317234083007,13.318634468166012,0.3608504778240504,0.07217009556481008,0.1473824793904951
75,5.72850223253207,overdensity_lt_-0.5,1547442443,128290636394200.25,0.4738591242286936,2.9539865563620413,proper pMpc/h,1.3455934592549803e+25,redshift_table,2.92299006866385e-13,6.3e-18,0+1+2,5995849160.0,1.9572982548065724e-05,4.1020786568221057e-10,5.305853399273214e-07,1.90423972081384e-05,2.0549416613928027e-05,4.307658124365157e-29,1.9868840492369783e-57,1.07075489013382,1.0707546421441734,2.6291217555951454e-05,3.397618456681292,9.903084569787094e-23,1.5508956791861927e-19,5.85757063598945e-20,1.17151412719789e-20,1.1009248331908152,1.1009248331908152,0.9241297479716293,1.1009248331908152,1724.1290376470279,1724.1290376470279,1447.2549669112216,38.33187852161292,38.33187852161292,32.17624688761793,2.7546659251100742e+17,2.312300213757451e+17,651.1854897214863,130.23709794429726,651.1854897214863,130.23709794429726,546.6130514605233,109.32261029210466,1566.0733463972986,591.4895096281483,118.29790192562966,1566.0733463972988,0.02223260422197031,591.4895096281483,118.29790192562966,1.1796293868583713e-08,0.0222326042219703,9.903084569787094e-23,1.5508956791861927e-19,1566.0733463972986,0.9266636404282057,44.978986267915396,131.1959728440314,0.3776895322232837,2.6291217555951454e-05,5.85757063598945e-20,1.17151412719789e-20,3.397618456681292,651.1854897214863,130.23709794429726,546.6130514605233,109.32261029210466,591.4895096281483,118.29790192562966,0.3776895322232837
75,5.72850223253207,overdensity_lt_0,3616443273,212742543298080.97,0.7857938668544244,2.9539865563620413,proper pMpc/h,1.3455934592549803e+25,redshift_table,2.92299006866385e-13,6.3e-18,0+1+2,5995849160.0,2.7798534925924117e-05,9.175793182828321e-10,5.866882894948232e-07,2.7211846636429245e-05,2.9370308446632004e-05,6.117963755720526e-29,4.4444107158309596e-57,1.1874091370021271,1.1874075354769482,2.68357551247774e-05,3.4679891380794454,2.2316676685580353e-22,1.7148840435947514e-19,5.978891273444139e-20,1.1957782546888279e-20,1.214706335516532,1.214706335516532,1.0324337343111427,1.214706335516532,933.4187799461691,933.4187799461691,793.3547463109106,18.767857528196043,18.767857528196043,15.951649107531324,1.3487253850888714e+17,1.1463425728288598e+17,325.4336302640321,65.08672605280643,325.4336302640321,65.08672605280643,276.60072919686655,55.3201458393733,768.4316387048806,267.91136322315083,53.582272644630166,768.4316387048806,0.0201065780241516,267.91136322315083,53.582272644630166,1.1796293868583713e-08,0.020106578024151615,2.2316676685580353e-22,1.7148840435947514e-19,768.4316387048806,0.9265087115402673,49.73496727284077,131.1959728440314,0.3486469709585231,2.68357551247774e-05,5.978891273444139e-20,1.1957782546888279e-20,3.4679891380794454,325.4336302640321,65.08672605280643,276.60072919686655,55.3201458393733,267.91136322315083,53.582272644630166,0.3486469709585231
75,5.72850223253207,overdensity_lt_5,7139774834,266853427464163.7,0.9856598656744242,2.9539865563620413,proper pMpc/h,1.3455934592549803e+25,redshift_table,2.92299006866385e-13,6.3e-18,0+1+2,5995849160.0,4.4814473580332415e-05,3.979892823020313e-09,7.182241715899591e-07,4.40962494087425e-05,4.7627219557601046e-05,9.862947912190789e-29,1.9277759560725155e-56,1.9817235947075724,1.98168571272155,2.711822689869888e-05,3.504493012824868,9.76046241858024e-22,2.0993621206317766e-19,6.041824774522858e-20,1.2083649549045716e-20,2.021723736504698,2.021723736504698,1.7374418389683512,2.021723736504698,434.8492979923264,434.8492979923264,373.7035631208896,7.14207389638418,7.14207389638418,6.13780101629269,5.132549813830465e+16,4.41084339374454e+16,125.1467403347862,25.02934806695724,125.1467403347862,25.02934806695724,107.54940387853553,21.509880775707106,215.08838727101522,61.90100955689868,12.380201911379736,215.08838727101522,0.01642425072170684,61.90100955689868,12.380201911379736,1.1796293868583713e-08,0.016424250721706883,9.76046241858024e-22,2.0993621206317766e-19,215.08838727101522,0.9258623496887501,60.88557809692736,131.1959728440314,0.28779335947552714,2.711822689869888e-05,6.041824774522858e-20,1.2083649549045716e-20,3.504493012824868,125.1467403347862,25.02934806695724,107.54940387853553,21.509880775707106,61.90100955689868,12.380201911379736,0.28779335947552714
75,5.72850223253207,overdensity_lt_10,7753109408,269240021339747.47,0.9944750786592498,2.9539865563620413,proper pMpc/h,1.3455934592549803e+25,redshift_table,2.92299006866385e-13,6.3e-18,0+1+2,5995849160.0,4.8460012333592474e-05,5.845208562584328e-09,7.489696339439313e-07,4.77110426996486e-05,5.154051205005264e-05,1.0665312943045594e-28,2.8313638865456694e-56,2.489135176021112,2.4890462766830703,2.70973598909684e-05,3.5017963659141684,1.435210403987546e-21,2.18923080174891e-19,6.037175694597865e-20,1.207435138919573e-20,2.5389621949369197,2.5389621949369197,2.184867042936926,2.5389621949369197,387.2863676425912,387.2863676425912,333.2736590282607,6.099771735672749,6.099771735672749,5.249069978783465,4.3835141921711976e+16,3.772169475315516e+16,106.80079248442398,21.360158496884793,106.80079248442398,21.360158496884793,91.90587088066552,18.3811741761331,152.5372722819188,42.064743105431475,8.412948621086295,152.53727228191883,0.015750029552555663,42.06474310543148,8.412948621086295,1.1796293868583713e-08,0.01575002955255566,1.435210403987546e-21,2.18923080174891e-19,152.5372722819188,0.9256998194607551,63.491944358779705,131.1959728440314,0.27576698125090093,2.70973598909684e-05,6.037175694597865e-20,1.207435138919573e-20,3.5017963659141684,106.80079248442398,21.360158496884793,91.90587088066552,18.3811741761331,42.064743105431475,8.412948621086295,0.27576698125090093
75,5.72850223253207,overdensity_lt_15,8035412046,269906353610243.1,0.9969362686183686,2.9539865563620413,proper pMpc/h,1.3455934592549803e+25,redshift_table,2.92299006866385e-13,6.3e-18,0+1+2,5995849160.0,5.0215445916379464e-05,7.271629627975584e-09,7.651985619062315e-07,4.945024735447324e-05,5.342367682033653e-05,1.105168457068921e-28,3.5223774503973203e-56,2.8838915863372545,2.8837466517094335,2.708959645674119e-05,3.500793096006206,1.7860325055940183e-21,2.2366677970077777e-19,6.035446034711746e-20,1.2070892069423492e-20,2.941002631467401,2.941002631467401,2.532160279301111,2.941002631467401,368.3049360028568,368.3049360028568,317.10516666612136,5.6777854463244655,5.6777854463244655,4.88849028142602,4.080259747838151e+16,3.513044004843984e+16,99.383760455486,19.8767520910972,99.383760455486,19.8767520910972,85.5679651355482,17.11359302710964,125.23108006166339,33.792475869325855,6.758495173865171,125.23108006166338,0.015415990640647904,33.792475869325855,6.758495173865171,1.1796293868583713e-08,0.01541599064064792,1.7860325055940183e-21,2.2366677970077777e-19,125.23108006166339,0.9256241857102814,64.86770933573757,131.1959728440314,0.2698409680143823,2.708959645674119e-05,6.035446034711746e-20,1.2070892069423492e-20,3.500793096006206,99.383760455486,19.8767520910972,85.5679651355482,17.11359302710964,33.792475869325855,6.758495173865171,0.2698409680143823
75,5.72850223253207,overdensity_lt_20,8203357130,270194142630243.16,0.9979992569767772,2.9539865563620413,proper pMpc/h,1.3455934592549803e+25,redshift_table,2.92299006866385e-13,6.3e-18,0+1+2,5995849160.0,5.128644375252613e-05,8.458365882152167e-09,7.760964969745356e-07,5.051034725555167e-05,5.457157224677054e-05,1.1287416373386864e-28,4.097301591468701e-56,3.2159466901440874,3.215742725952014,2.7086407863398614e-05,3.5003810335534675,2.07750148426602e-21,2.268522352981375e-19,6.034735629775427e-20,1.2069471259550856e-20,3.2787085963498344,3.2787085963498344,2.823661625594076,3.2787085963498344,358.0177340936807,358.0177340936807,308.32899824275995,5.44169754405177,5.44169754405177,4.6864526327026566,3.910598535081614e+16,3.3678525224558176e+16,95.2400743676665,19.0480148735333,95.2400743676665,19.0480148735333,82.02184955079545,16.40436991015909,109.19474042074357,29.048044853298844,5.80960897065977,109.19474042074359,0.015199519537286018,29.048044853298848,5.80960897065977,1.1796293868583713e-08,0.015199519537286044,2.07750148426602e-21,2.268522352981375e-19,109.19474042074357,0.9255798426907297,65.79155331501718,131.1959728440314,0.2660205495372067,2.7086407863398614e-05,6.034735629775427e-20,1.2069471259550856e-20,3.5003810335534675,95.2400743676665,19.0480148735333,82.02184955079545,16.40436991015909,29.048044853298844,5.80960897065977,0.2660205495372067
75,5.72850223253207,overdensity_lt_25,8317029469,270347774000174.88,0.9985667155883801,2.9539865563620413,proper pMpc/h,1.3455934592549803e+25,redshift_table,2.92299006866385e-13,6.3e-18,0+1+2,5995849160.0,5.202405810936522e-05,9.492066577901161e-09,7.843722362556851e-07,5.123968587310946e-05,5.536129380540498e-05,1.1449771792357644e-28,4.598104561939656e-56,3.5073990619630018,3.507133708336323,2.7084952431108577e-05,3.5001929477943894,2.3309454900014974e-21,2.2927122567110264e-19,6.034411365696495e-20,1.206882273139299e-20,3.574602254565637,3.574602254565637,3.078932343033523,3.574602254565637,351.5969994606884,351.5969994606884,302.84302875106795,5.287720978944175,5.287720978944175,4.554502566604129,3.799945466793236e+16,3.273028484366296e+16,92.54021840202424,18.508043680404846,92.54021840202424,18.508043680404846,79.7081888216961,15.941637764339221,98.35975429479278,25.8882560385083,5.177651207701659,98.35975429479278,0.015039152743211588,25.8882560385083,5.177651207701659,1.1796293868583713e-08,0.015039152743211612,2.3309454900014974e-21,2.2927122567110264e-19,98.35975429479278,0.9255507295984994,66.49310749579168,131.1959728440314,0.2631996818629592,2.7084952431108577e-05,6.034411365696495e-20,1.206882273139299e-20,3.5001929477943894,92.54021840202424,18.508043680404846,79.7081888216961,15.941637764339221,25.8882560385083,5.177651207701659,0.2631996818629592
75,5.72850223253207,overdensity_lt_10__xHII_gt_0.9,7620346905,262908846229258.78,0.9710900119270506,2.9539865563620413,proper pMpc/h,1.3455934592549803e+25,redshift_table,2.92299006866385e-13,6.3e-18,0+1+2,5995849160.0,4.877494605170407e-05,5.909272686093307e-09,1.1049051811864887e-08,4.876389699989212e-05,5.267795796145357e-05,1.0734627385682144e-28,2.862397995738903e-56,2.484025621322906,2.483936194085051,2.774508335397209e-05,3.5855017777325227,1.467829811811979e-21,3.2296268714233374e-21,6.181485707211676e-20,1.2362971414423351e-20,2.485745515411177,2.485745515411177,2.205761687382406,2.485745515411177,5.469319704156777,5.469319704156777,4.853278738583639,5.839207163657896,5.839207163657896,5.1815036440506095,4.196263168870709e+16,3.7236138899511736e+16,104.68243832921934,20.936487665843867,104.68243832921934,20.936487665843867,92.89145263535502,18.578290527071005,2.200273386896597,42.11309552011941,8.42261910402388,2.2002733868965967,1.067629518753493,42.11309552011941,8.42261910402388,1.1796293868583713e-08,1.0676295187534925,1.467829811811979e-21,3.2296268714233374e-21,2.200273386896597,0.925698316468047,0.9366545064879312,131.1959728440314,19.139937687251834,2.774508335397209e-05,6.181485707211676e-20,1.2362971414423351e-20,3.5855017777325227,104.68243832921934,20.936487665843867,92.89145263535502,18.578290527071005,42.11309552011941,8.42261910402388,19.139937687251834
75,5.72850223253207,overdensity_lt_10__xHII_gt_0.99,7601764483,262294977316208.1,0.9688226026000315,2.9539865563620413,proper pMpc/h,1.3455934592549803e+25,redshift_table,2.92299006866385e-13,6.3e-18,0+1+2,5995849160.0,4.877098153410994e-05,5.905758659010709e-09,6.7122133362925164e-09,4.876426932077359e-05,5.267891011240788e-05,1.0733755064324137e-28,2.8606961367493356e-56,2.4829522511237214,2.4828626955235724,2.7805588231055142e-05,3.593320833151281,1.4672640637603436e-21,1.9619732920736055e-21,6.19496593461391e-20,1.238993186922782e-20,2.4847235475685703,2.4847235475685703,2.205269999295667,2.4847235475685703,3.3224839065588743,3.3224839065588743,2.948808566428557,5.839057040022027,5.839057040022027,5.182346071110102,4.196155284655212e+16,3.724219288174448e+16,104.908026539349,20.9816053078698,104.908026539349,20.9816053078698,93.10916050959808,18.62183210191962,1.3371644140492394,42.22120671815055,8.444241343630111,1.3371644140492391,1.7574372680918686,42.221206718150555,8.444241343630111,1.1796293868583713e-08,1.7574372680918666,1.4672640637603436e-21,1.9619732920736055e-21,1.3371644140492394,0.9256886525692899,0.5690103528336734,131.1959728440314,31.575179741954912,2.7805588231055142e-05,6.19496593461391e-20,1.238993186922782e-20,3.593320833151281,104.908026539349,20.9816053078698,93.10916050959808,18.62183210191962,42.22120671815055,8.444241343630111,31.575179741954912
