duplicate_group,comparison,status,source_path,reference_path,max_abs_clumping_delta
group0011,reference,byte-identical,results\gas_cube_256.json,results\gas_cube_256.json,0
group0011,repeat,numerically-identical,results\gas_cube_256_diag.json,results\gas_cube_256.json,0
group0019,reference,byte-identical,results\gas_sphere_256.json,results\gas_sphere_256.json,0
group0019,repeat,numerically-identical,results\gas_sphere_256_diag.json,results\gas_sphere_256.json,0
