snapshot,redshift,mask_name,selected_cells,volume_total,volume_fraction,lambda_mfp_input,lambda_mfp_units,lambda_mfp_cm,GammaHI_source,GammaHI_s_1,sigma_hi_cm2,photon_band_used,c_tilde_cm_s,nH_V,nH2_V,nHI_V,nHII_V,ne_V,gas_density_V_g_cm3,gas_density_squared_V_g2_cm6,C_standard_raw_volume,C_raw_volume_nH,nGamma_V,nGamma_ctilde_sigma_over_Gamma,R_rec,R_ion,R_gamma_c,R_gamma_ctilde,C5,C5_paper_actual,C5_chi_nH2,C5_neHII,C7,C7_paper_actual,C7_chi_nH2,C8,C8_corrected_actual,C8_corrected_chi_nH2,C8_paper_literal_actual,C8_paper_literal_chi_nH2,C13_c,C13_ctilde,C13_c_actual,C13_ctilde_actual,C13_c_chi_nH2,C13_ctilde_chi_nH2,Q6,Q12_c,Q12_ctilde,C7_over_C5,C8_over_C7,C13c_over_C5,C13ctilde_over_C5,nHI_mfp,nHI_mfp_over_nHI_V,recombination_rate,photoionization_rate,ionization_equilibrium_ratio,electron_density_nHII_over_ne,lambda_mfp_nHI_sigma_HI,Gamma_lambda_mfp_over_c,photon_photoionization_rate_ratio,nGamma_V_g0,R_gamma_c_g0,R_gamma_ctilde_g0,nGamma_ctilde_sigma_over_Gamma_g0,C13_c_actual_g0,C13_ctilde_actual_g0,C13_c_chi_nH2_g0,C13_ctilde_chi_nH2_g0,Q12_c_g0,Q12_ctilde_g0,photon_photoionization_rate_ratio_g0
9,7.008044508286467,all-gas,2086819,64000000000.9851,1.0,265.0404185320924,proper pMpc/h,1.2062378726453785e+27,redshift_table,1.123793939769065e-12,6.3e-18,0,29979245800.0,9.787353918465796e-05,1.9592753220632005e-07,2.4690114512577814e-08,9.784884907014534e-05,0.00010560040995092124,2.154066441455351e-28,9.528244250323706e-55,20.534999272383,20.453370354837432,7.983000339861651e-05,13.416545702266998,3.467189388206006e-20,2.7746601061439207e-20,1.98405583871561e-21,1.98405583871561e-21,19.406691573175735,19.406691573175735,12.939677700384632,19.406691573175735,15.530438886175652,15.530438886175652,10.355133072264737,0.08277269874098116,0.08277269874098116,0.05518983181964698,4.780068654146075e+18,3.187176316846051e+18,1.1105236955583517,1.1105236955583517,1.1105236955583517,1.1105236955583517,0.7404569009087231,0.7404569009087231,0.8002620553645574,0.05722375147618344,0.05722375147618344,0.8002620553645575,0.00532970763721693,0.05722375147618344,0.05722375147618344,1.3159109188144663e-10,0.005329707637216934,3.467189388206006e-20,2.7746601061439207e-20,0.8002620553645574,0.9265953523818846,187.62755259164268,45216.70826017929,0.0715062660944424,7.983000339861651e-05,1.98405583871561e-21,1.98405583871561e-21,13.416545702266998,1.1105236955583517,1.1105236955583517,0.7404569009087231,0.7404569009087231,0.05722375147618344,0.05722375147618344,0.0715062660944424
9,7.008044508286467,overdensity_lt_-1,0,0.0,0.0,265.0404185320924,proper pMpc/h,1.2062378726453785e+27,redshift_table,1.123793939769065e-12,6.3e-18,0,29979245800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7.008044508286467,overdensity_lt_-0.492462311558,285641,22807103541.814545,0.3563609928353671,265.0404185320924,proper pMpc/h,1.2062378726453785e+27,redshift_table,1.123793939769065e-12,6.3e-18,0,29979245800.0,3.596414424192628e-05,1.3584064083688025e-09,7.336923395823561e-11,3.596407087269183e-05,3.8805389638989685e-05,7.915056770850743e-29,6.579582324801227e-57,1.0502441154983233,1.0502441232100344,8.580534435340909e-05,14.420785105919483,2.5342875068457645e-22,8.245190048776398e-23,2.1325640387024614e-21,2.1325640387024614e-21,1.050244109114478,1.050244109114478,0.7004754218464095,1.050244109114478,0.3416921818801255,0.3416921818801255,0.22789651773996467,0.612840626447789,0.612840626447789,0.4087428747375538,3.539114119786395e+19,2.360463090919121e+19,8.837642978180643,8.837642978180643,8.837642978180643,8.837642978180643,5.89439316016603,5.89439316016603,0.3253454876964043,8.414846511857299,8.414846511857299,0.3253454876964043,1.7935459426542848,8.4148465118573,8.4148465118573,1.3159109188144663e-10,1.7935459426542872,2.5342875068457645e-22,8.245190048776398e-23,0.3253454876964043,0.9267803057067352,0.55755471673064,45216.70826017929,25.864340616611234,8.580534435340909e-05,2.1325640387024614e-21,2.1325640387024614e-21,14.420785105919483,8.837642978180643,8.837642978180643,5.89439316016603,5.89439316016603,8.414846511857299,8.414846511857299,25.864340616611234
9,7.008044508286467,overdensity_lt_0.0150753768844,867402,47394931327.82654,0.740545801985891,265.0404185320924,proper pMpc/h,1.2062378726453785e+27,redshift_table,1.123793939769065e-12,6.3e-18,0,29979245800.0,5.325268066202847e-05,3.2425778781030137e-09,1.7150699044306153e-10,5.3252509155037357e-05,5.74618080609766e-05,1.1719952511554438e-28,1.5705769319135134e-56,1.1434245446072475,1.14342442921555,8.394483133320214e-05,14.108099938656895,6.049735493712313e-22,1.927385164879391e-22,2.086323758562225e-21,2.086323758562225e-21,1.1434371254249565,1.1434371254249565,0.762658155001602,1.1434371254249565,0.3642876213029351,0.3642876213029351,0.24297525327382116,0.2795046762951848,0.2795046762951848,0.18642609724464093,1.6141210352784746e+19,1.0765983921129462e+19,3.9432799064944115,3.9432799064944115,3.9432799064944115,3.9432799064944115,2.630118011101163,2.630118011101163,0.31858998908011515,3.4486197962383796,3.4486197962383796,0.31858998908011515,0.767263722262892,3.448619796238379,3.448619796238379,1.3159109188144663e-10,0.7672637222628745,6.049735493712313e-22,1.927385164879391e-22,0.31858998908011515,0.9267461458666167,1.3033328319638537,45216.70826017929,10.824633272990766,8.394483133320214e-05,2.086323758562225e-21,2.086323758562225e-21,14.108099938656895,3.9432799064944115,3.9432799064944115,2.630118011101163,2.630118011101163,3.4486197962383796,3.4486197962383796,10.824633272990766
9,7.008044508286467,overdensity_lt_0.522613065327,1193637,55556628890.80438,0.868072326405457,265.0404185320924,proper pMpc/h,1.2062378726453785e+27,redshift_table,1.123793939769065e-12,6.3e-18,0,29979245800.0,6.294470115450666e-05,4.883148687187249e-09,2.704033719177655e-10,6.294443075113452e-05,6.79225805537594e-05,1.3852994169716749e-28,2.365206383643923e-56,1.2324852758858895,1.2324848695091513,8.201423412635264e-05,13.783636146152356,9.111095054809575e-22,3.038776706542985e-22,2.0383416403436987e-21,2.0383416403436987e-21,1.2325210767684642,1.2325210767684642,0.8221076814442918,1.2325210767684642,0.4110764201093681,0.4110764201093681,0.27419334971422793,0.20004926190550684,0.20004926190550684,0.1334354746378696,1.1552712677786933e+19,7.705810483037819e+18,2.757406237411844,2.757406237411844,2.757406237411844,2.757406237411844,1.8392260313975357,1.8392260313975357,0.33352486043254176,2.237208181982139,2.237208181982139,0.33352486043254176,0.48664737776076555,2.237208181982139,2.237208181982139,1.3159109188144663e-10,0.4866473777607545,9.111095054809575e-22,3.038776706542985e-22,0.33352486043254176,0.9267084707023938,2.054875965018802,45216.70826017929,6.70777038653355,8.201423412635264e-05,2.0383416403436987e-21,2.0383416403436987e-21,13.783636146152356,2.757406237411844,2.757406237411844,1.8392260313975357,1.8392260313975357,2.237208181982139,2.237208181982139,6.70777038653355
9,7.008044508286467,overdensity_lt_1.03015075377,1385197,58969445497.45028,0.9213975858834783,265.0404185320924,proper pMpc/h,1.2062378726453785e+27,redshift_table,1.123793939769065e-12,6.3e-18,0,29979245800.0,6.910972636286592e-05,6.274130126218588e-09,3.5040946811587116e-10,6.910937595339581e-05,7.457788052244364e-05,1.520980904414296e-28,3.0389461876612415e-56,1.313637345738285,1.3136364030751688,8.092485143812981e-05,13.600550188472774,1.1707127475328117e-21,3.9378803670631004e-22,2.011266656112874e-21,2.011266656112874e-21,1.3137072724060264,1.3137072724060264,0.8762912615813316,1.3137072724060264,0.4418865419359173,0.4418865419359173,0.29475464088712056,0.1659439536657639,0.1659439536657639,0.1106907448591964,9.583153664531393e+18,6.392317368571684e+18,2.2569290703048224,2.2569290703048224,2.2569290703048224,2.2569290703048224,1.5054550308569352,1.5054550308569352,0.33636606207303066,1.7179847578763159,1.7179847578763159,0.3363660620730307,0.3755352062517197,1.7179847578763157,1.7179847578763157,1.3159109188144663e-10,0.3755352062517127,1.1707127475328117e-21,3.9378803670631004e-22,0.33636606207303066,0.9266739074543405,2.6628661796617883,45216.70826017929,5.107485420164989,8.092485143812981e-05,2.011266656112874e-21,2.011266656112874e-21,13.600550188472774,2.2569290703048224,2.2569290703048224,1.5054550308569352,1.5054550308569352,1.7179847578763159,1.7179847578763159,5.107485420164989
9,7.008044508286467,overdensity_lt_1.53768844221,1507958,60672953255.531,0.9480148946030799,265.0404185320924,proper pMpc/h,1.2062378726453785e+27,redshift_table,1.123793939769065e-12,6.3e-18,0,29979245800.0,7.332620911125457e-05,7.453674594822675e-09,4.0931309390288e-10,7.332579979815934e-05,7.913066041718082e-05,1.6137785592731185e-28,3.6102758554151606e-56,1.3862849381333824,1.3862832084757237,8.041165140501e-05,13.514299763749928,1.390895999273054e-21,4.599835743961816e-22,1.9985118336302026e-21,1.9985118336302026e-21,1.3863992787241162,1.3863992787241162,0.9248103305330728,1.3863992787241162,0.4584964627844995,0.4584964627844995,0.3058442627626,0.14740317634673394,0.14740317634673394,0.09832663817042751,8.512436026539019e+18,5.678298377787701e+18,1.9920507112786559,1.9920507112786559,1.9920507112786559,1.9920507112786559,1.3288156629969332,1.3288156629969332,0.3307102577306931,1.4368520972629992,1.4368520972629992,0.3307102577306931,0.3214925049836551,1.4368520972629992,1.4368520972629992,1.3159109188144663e-10,0.32149250498365434,1.390895999273054e-21,4.599835743961816e-22,0.3307102577306931,0.9266420804727528,3.1104924205024402,45216.70826017929,4.3447460841479835,8.041165140501e-05,1.9985118336302026e-21,1.9985118336302026e-21,13.514299763749928,1.9920507112786559,1.9920507112786559,1.3288156629969332,1.3288156629969332,1.4368520972629992,1.4368520972629992,4.3447460841479835
9,7.008044508286467,overdensity_lt_2.04522613065,1592805,61639758377.29401,0.9631212246303943,265.0404185320924,proper pMpc/h,1.2062378726453785e+27,redshift_table,1.123793939769065e-12,6.3e-18,0,29979245800.0,7.63944144262968e-05,8.474399837132704e-09,4.5549126819691053e-10,7.639395893502714e-05,8.24443740096763e-05,1.6813048025703316e-28,4.104682010211906e-56,1.452066850402746,1.4520639327760283,8.013297568038613e-05,13.467464420691513,1.5814730552283195e-21,5.11878326817411e-22,1.991585763543653e-21,1.991585763543653e-21,1.4522354036238814,1.4522354036238814,0.9687574708260366,1.4522354036238814,0.47004773561866275,0.47004773561866275,0.31355953338497233,0.13579644459775236,0.13579644459775236,0.0905871182367608,7.842154938036585e+18,5.231346216075203e+18,1.8288337860766366,1.8288337860766366,1.8288337860766366,1.8288337860766366,1.2199787918265514,1.2199787918265514,0.32367186094328393,1.2593232347269585,1.2593232347269585,0.32367186094328393,0.28889926343123673,1.2593232347269585,1.2593232347269585,1.3159109188144663e-10,0.2888992634312351,1.5814730552283195e-21,5.11878326817411e-22,0.32367186094328393,0.9266121533782398,3.4614141556578377,45216.70826017929,3.890740551424166,8.013297568038613e-05,1.991585763543653e-21,1.991585763543653e-21,13.467464420691513,1.8288337860766366,1.8288337860766366,1.2199787918265514,1.2199787918265514,1.2593232347269585,1.2593232347269585,3.890740551424166
9,7.008044508286467,overdensity_lt_2.5527638191,1654476,62234984450.61464,0.972421632025886,265.0404185320924,proper pMpc/h,1.2062378726453785e+27,redshift_table,1.123793939769065e-12,6.3e-18,0,29979245800.0,7.871043375054702e-05,9.365784990084429e-09,4.93224106605318e-10,7.870994052644046e-05,8.494625429774666e-05,1.7322767495140668e-28,4.5364416145927565e-56,1.5117527699684703,1.5117485897135132,7.996470405738792e-05,13.439184027052084,1.747934199970269e-21,5.542822619510637e-22,1.987403622971359e-21,1.987403622971359e-21,1.5119816730100215,1.5119816730100215,1.008641769201592,1.5119816730100215,0.4794600516191073,0.4794600516191073,0.3198474183644273,0.12791887270137187,0.12791887270137187,0.08533457804347988,7.387230366705349e+18,4.928015490915293e+18,1.7191252707667855,1.7191252707667855,1.7191252707667855,1.7191252707667855,1.1468270981971642,1.1468270981971642,0.3171070524053432,1.1370013945634585,1.1370013945634585,0.31710705240534315,0.2667977702613547,1.1370013945634585,1.1370013945634585,1.3159109188144663e-10,0.2667977702613529,1.747934199970269e-21,5.542822619510637e-22,0.3171070524053432,0.9265851823266134,3.7481572616608014,45216.70826017929,3.5855443325495093,7.996470405738792e-05,1.987403622971359e-21,1.987403622971359e-21,13.439184027052084,1.7191252707667855,1.7191252707667855,1.1468270981971642,1.1468270981971642,1.1370013945634585,1.1370013945634585,3.5855443325495093
9,7.008044508286467,overdensity_lt_3.06030150754,1701586,62629478778.69979,0.9785856059021216,265.0404185320924,proper pMpc/h,1.2062378726453785e+27,redshift_table,1.123793939769065e-12,6.3e-18,0,29979245800.0,8.05332251000585e-05,1.0161524092108198e-08,5.255498468838862e-10,8.053269955021133e-05,8.691565815672047e-05,1.7723936277425875e-28,4.921875048705315e-56,1.5667879551453459,1.566782341116032,7.985101030324046e-05,13.420076205636052,1.8965572634007254e-21,5.906097329746671e-22,1.9845779340431573e-21,1.9845779340431573e-21,1.5670791933460555,1.5670791933460555,1.0454234976205796,1.5670791933460555,0.48800647456997664,0.48800647456997664,0.32555689442669583,0.1221907022038713,0.1221907022038713,0.08151536426307267,7.056432305784444e+18,4.707458418923046e+18,1.6398085351961342,1.6398085351961342,1.6398085351961342,1.6398085351961342,1.093942400340617,1.093942400340617,0.31141149511913085,1.0464107635139905,1.0464107635139905,0.31141149511913085,0.2503874611736325,1.0464107635139905,1.0464107635139905,1.3159109188144663e-10,0.25038746117363075,1.8965572634007254e-21,5.906097329746671e-22,0.31141149511913085,0.9265614649664182,3.9938102144282372,45216.70826017929,3.360218809885887,7.985101030324046e-05,1.9845779340431573e-21,1.9845779340431573e-21,13.420076205636052,1.6398085351961342,1.6398085351961342,1.093942400340617,1.093942400340617,1.0464107635139905,1.0464107635139905,3.360218809885887
